	ProductionUnitId	BatchId	Item	QuantityProduced	QuantityDiscarded	DefectiveQuantitySold
0	P188	gv962	scissor	141	14	33.0
1	P188	gv962	paper	274	135	0.0
2	P188	gv962	rock	218	24	0.0
3	P258	mr005	scissor	151	24	0.0
4	P258	mr005	paper	143	60	0.0
5	P258	mr005	rock	225	17	0.0
6	P986	um425	scissor	156	61	20.0
7	P986	um425	paper	151	116	0.0
8	P986	um425	rock	84	28	0.0
9	P631	fy268	scissor	91	23	0.0
10	P631	fy268	paper	203	17	84.0
11	P631	fy268	rock	161	9	43.0
12	P675	jq381	scissor	85	57	15.0
13	P675	jq381	paper	226	141	0.0
14	P675	jq381	rock	223	118	0.0
15	P796	sb894	scissor	221	125	0.0
16	P796	sb894	paper	65	10	0.0
17	P796	sb894	rock	248	126	49.0
18	P411	dz792	scissor	58	36	0.0
19	P411	dz792	paper	176	130	0.0
20	P411	dz792	rock	156	5	5.0
21	P203	hh809	scissor	283	150	29.0
22	P203	hh809	paper	371	46	0.0
23	P203	hh809	rock	183	68	25.0
24	P348	lp473	scissor	68	45	0.0
25	P348	lp473	paper	96	31	0.0
26	P348	lp473	rock	257	5	95.0
27	P930	jq430	scissor	282	84	47.0
28	P930	jq430	paper	193	71	0.0
29	P930	jq430	rock	194	60	0.0
30	P961	oj248	scissor	228	31	0.0
31	P961	oj248	paper	146	89	2.0
32	P961	oj248	rock	126	13	0.0
33	P507	an106	scissor	215	58	0.0
34	P507	an106	paper	249	80	20.0
35	P507	an106	rock	121	16	0.0
36	P801	xm495	scissor	181	75	0.0
37	P801	xm495	paper	79	16	0.0
38	P801	xm495	rock	134	22	0.0
39	P020	xw595	scissor	325	126	18.0
40	P020	xw595	paper	225	10	51.0
41	P020	xw595	rock	87	7	0.0
42	P224	rz124	scissor	209	26	49.0
43	P224	rz124	paper	208	62	0.0
44	P224	rz124	rock	80	6	30.0
45	P417	kf296	scissor	238	113	2.0
46	P417	kf296	paper	156	25	57.0
47	P417	kf296	rock	355	155	18.0
48	P071	cn614	scissor	257	118	0.0
49	P071	cn614	paper	182	156	12.0
50	P071	cn614	rock	180	52	54.0
51	P426	jj029	scissor	223	119	0.0
52	P426	jj029	paper	25	4	0.0
53	P426	jj029	rock	148	60	0.0
54	P557	bh019	scissor	231	145	14.0
55	P557	bh019	paper	216	6	0.0
56	P557	bh019	rock	164	0	35.0
57	P802	mn664	scissor	90	21	28.0
58	P802	mn664	paper	139	42	0.0
59	P802	mn664	rock	232	48	0.0
60	P591	uj790	scissor	199	14	36.0
61	P591	uj790	paper	141	15	0.0
62	P591	uj790	rock	43	8	0.0
63	P864	kz294	scissor	150	5	59.0
64	P864	kz294	paper	298	139	0.0
65	P864	kz294	rock	188	34	0.0
66	P306	dl078	scissor	155	1	21.0
67	P306	dl078	paper	348	67	0.0
68	P306	dl078	rock	224	131	32.0
69	P801	qp645	scissor	73	24	23.0
70	P801	qp645	paper	290	52	35.0
71	P801	qp645	rock	163	2	0.0
72	P203	pf915	scissor	130	0	0.0
73	P203	pf915	paper	382	18	12.0
74	P203	pf915	rock	234	3	7.0
75	P125	sf362	scissor	51	2	0.0
76	P125	sf362	paper	175	68	43.0
77	P125	sf362	rock	109	18	0.0
78	P349	rk406	scissor	160	106	35.0
79	P349	rk406	paper	180	135	0.0
80	P349	rk406	rock	47	11	36.0
81	P104	uw485	scissor	73	3	0.0
82	P104	uw485	paper	190	45	41.0
83	P104	uw485	rock	171	130	0.0
84	P426	oq644	scissor	157	54	0.0
85	P426	oq644	paper	297	109	43.0
86	P426	oq644	rock	252	13	0.0
87	P024	xc715	scissor	81	10	0.0
88	P024	xc715	paper	173	36	0.0
89	P024	xc715	rock	132	78	0.0
90	P766	eb364	scissor	111	13	0.0
91	P766	eb364	paper	229	1	46.0
92	P766	eb364	rock	186	42	26.0
93	P279	lv316	scissor	165	24	0.0
94	P279	lv316	paper	84	26	0.0
95	P279	lv316	rock	151	27	0.0
96	P064	cu210	scissor	203	61	24.0
97	P064	cu210	paper	192	61	0.0
98	P064	cu210	rock	232	101	12.0
99	P406	tn872	scissor	202	18	0.0
100	P406	tn872	paper	113	2	0.0
101	P406	tn872	rock	217	17	0.0
102	P632	mk182	scissor	96	21	0.0
103	P632	mk182	paper	231	48	0.0
104	P632	mk182	rock	174	52	55.0
105	P443	zq933	scissor	339	96	0.0
106	P443	zq933	paper	325	114	62.0
107	P443	zq933	rock	241	59	7.0
108	P983	tf754	scissor	195	121	0.0
109	P983	tf754	paper	178	94	0.0
110	P983	tf754	rock	92	14	0.0
111	P657	uk117	scissor	253	50	14.0
112	P657	uk117	paper	195	13	0.0
113	P657	uk117	rock	169	29	0.0
114	P349	kz670	scissor	321	36	38.0
115	P349	kz670	paper	287	136	0.0
116	P349	kz670	rock	376	116	16.0
117	P669	zd738	scissor	81	43	0.0
118	P669	zd738	paper	126	26	70.0
119	P669	zd738	rock	271	38	0.0
120	P714	ek896	scissor	177	52	0.0
121	P714	ek896	paper	201	50	0.0
122	P714	ek896	rock	137	0	34.0
123	P544	zb927	scissor	89	17	0.0
124	P544	zb927	paper	79	24	0.0
125	P544	zb927	rock	125	6	0.0
126	P772	ub400	scissor	351	127	0.0
127	P772	ub400	paper	251	0	35.0
128	P772	ub400	rock	158	64	36.0
129	P182	ss111	scissor	165	7	0.0
130	P182	ss111	paper	216	1	16.0
131	P182	ss111	rock	206	150	13.0
132	P237	ya254	scissor	263	16	0.0
133	P237	ya254	paper	152	18	0.0
134	P237	ya254	rock	307	62	69.0
135	P924	ba481	scissor	156	87	0.0
136	P924	ba481	paper	169	35	0.0
137	P924	ba481	rock	91	76	12.0
138	P136	lr414	scissor	312	30	35.0
139	P136	lr414	paper	191	71	0.0
140	P136	lr414	rock	215	17	0.0
141	P498	ay375	scissor	92	8	0.0
142	P498	ay375	paper	143	25	0.0
143	P498	ay375	rock	268	101	56.0
144	P964	ym014	scissor	282	118	0.0
145	P964	ym014	paper	181	4	48.0
146	P964	ym014	rock	193	87	39.0
147	P529	az177	scissor	37	18	0.0
148	P529	az177	paper	51	13	0.0
149	P529	az177	rock	47	1	39.0
150	P632	ek147	scissor	346	26	45.0
151	P632	ek147	paper	288	140	0.0
152	P632	ek147	rock	188	30	0.0
153	P702	ln367	scissor	162	57	0.0
154	P702	ln367	paper	240	87	0.0
